,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
0,Voltas, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1520 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Air Conditioner and 5 Years on Compressor,284,24,4,"₹34,999","₹69,990"
1,Whirlpool 4 in 1 Convertible Cooling, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1325 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor,"1,449",160,4.1,"₹36,590","₹74,700"
2,Hitachi, 1.5 Ton, 3 Star,split inverter ,"White, Gold",Copper,Noise level: 36 dB,Power Consumption: 1098.1 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Complete Product and 10 Years on Compressor,"1,672",175,4,"₹34,999","₹57,900"
3,Blue Star, 1 Ton,,portable ,"White, Grey",Copper,Noise level: 52 dB,Power Consumption: 1403 W,Refrigerant: R410A,Wi-Fi Enabled: No,1 Year on Product and 5 Years Warranty on Compressor From Blue Star,"3,771",562,3.8,"₹35,490","₹39,000"
4,ONIDA, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 52 dB,Power Consumption: 1740 W,,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor from Onida,"1,677",306,4.5,"₹30,990","₹54,990"
5,Voltas, 1.5 Ton, 2 Star,split ,White,Copper,Noise level: 46 dB,Power Consumption: 1450 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,6,0,4.7,"₹30,999","₹61,990"
6,Voltas, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 1750 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and Condenser and 5 Years on Compressor from Voltas,684,48,4.2,"₹38,499","₹69,990"
7,MarQ By Flipkart Convertible 4-in-1 Cooling, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 712.59 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart,"1,974",278,3.9,"₹25,999","₹45,999"
8,CARRIER Flexicool Convertible 4-in-1 Cooling, 1.5 Ton, 4 Star,split inverter ,,Copper,Noise level: 37 dB,Power Consumption: 1595 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,"6,413",795,4.3,"₹37,999","₹68,490"
9,SAMSUNG, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1380 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung,"19,774","2,004",4.2,"₹39,999","₹65,990"
