,Brands,Type,Ton,Star,Price_Range(₹),Avg_star_Range,Available
1927,Blue Star,Portable,1.0,3.0,"(35000, 40000]","(3.5, 4.0]",1
12018,Blue Star,Split,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",2
12859,Blue Star,Split,1.2,3.0,"(40000, 45000]","(4.5, 5.0]",1
15387,Blue Star,Split,1.5,3.0,"(45000, 50000]","(3.5, 4.0]",1
15388,Blue Star,Split,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
50648,Blue Star,Split Inverter,0.8,3.0,"(35000, 40000]","(4.0, 4.5]",1
52338,Blue Star,Split Inverter,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",1
52348,Blue Star,Split Inverter,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",1
52357,Blue Star,Split Inverter,1.0,3.0,"(50000, 55000]","(3.5, 4.0]",1
52787,Blue Star,Split Inverter,1.0,5.0,"(55000, 60000]","(3.5, 4.0]",1
52788,Blue Star,Split Inverter,1.0,5.0,"(55000, 60000]","(4.0, 4.5]",1
53188,Blue Star,Split Inverter,1.2,3.0,"(45000, 50000]","(4.0, 4.5]",1
53198,Blue Star,Split Inverter,1.2,3.0,"(50000, 55000]","(4.0, 4.5]",1
53207,Blue Star,Split Inverter,1.2,3.0,"(55000, 60000]","(3.5, 4.0]",1
53208,Blue Star,Split Inverter,1.2,3.0,"(55000, 60000]","(4.0, 4.5]",1
55717,Blue Star,Split Inverter,1.5,3.0,"(50000, 55000]","(3.5, 4.0]",1
55728,Blue Star,Split Inverter,1.5,3.0,"(55000, 60000]","(4.0, 4.5]",1
55729,Blue Star,Split Inverter,1.5,3.0,"(55000, 60000]","(4.5, 5.0]",1
55737,Blue Star,Split Inverter,1.5,3.0,"(60000, 65000]","(3.5, 4.0]",1
55948,Blue Star,Split Inverter,1.5,4.0,"(60000, 65000]","(4.0, 4.5]",1
56158,Blue Star,Split Inverter,1.5,5.0,"(60000, 65000]","(4.0, 4.5]",2
56168,Blue Star,Split Inverter,1.5,5.0,"(65000, 70000]","(4.0, 4.5]",2
56169,Blue Star,Split Inverter,1.5,5.0,"(65000, 70000]","(4.5, 5.0]",1
58268,Blue Star,Split Inverter,2.0,3.0,"(65000, 70000]","(4.0, 4.5]",1
58708,Blue Star,Split Inverter,2.0,5.0,"(75000, 80000]","(4.0, 4.5]",1
58709,Blue Star,Split Inverter,2.0,5.0,"(75000, 80000]","(4.5, 5.0]",1
102718,Blue Star,Window,1.0,3.0,"(30000, 35000]","(4.0, 4.5]",1
103138,Blue Star,Window,1.0,5.0,"(30000, 35000]","(4.0, 4.5]",1
106088,Blue Star,Window,1.5,3.0,"(35000, 40000]","(4.0, 4.5]",2
106297,Blue Star,Window,1.5,4.0,"(35000, 40000]","(3.5, 4.0]",1
106508,Blue Star,Window,1.5,5.0,"(35000, 40000]","(4.0, 4.5]",2
108618,Blue Star,Window,2.0,3.0,"(40000, 45000]","(4.0, 4.5]",1
108628,Blue Star,Window,2.0,3.0,"(45000, 50000]","(4.0, 4.5]",1
126467,Blue Star,Window Inverter,1.5,4.0,"(40000, 45000]","(3.5, 4.0]",1
166578,Candy,Split Dual Inverter,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
294278,Carrier,Split,1.0,3.0,"(50000, 55000]","(4.0, 4.5]",1
297606,Carrier,Split,1.5,3.0,"(35000, 40000]","(3.0, 3.5]",1
297628,Carrier,Split,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
335858,Carrier,Split Inverter,1.2,5.0,"(50000, 55000]","(4.0, 4.5]",1
335878,Carrier,Split Inverter,1.2,5.0,"(60000, 65000]","(4.0, 4.5]",1
337958,Carrier,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
337968,Carrier,Split Inverter,1.5,3.0,"(55000, 60000]","(4.0, 4.5]",1
337988,Carrier,Split Inverter,1.5,3.0,"(65000, 70000]","(4.0, 4.5]",1
338198,Carrier,Split Inverter,1.5,4.0,"(65000, 70000]","(4.0, 4.5]",1
338398,Carrier,Split Inverter,1.5,5.0,"(60000, 65000]","(4.0, 4.5]",1
338418,Carrier,Split Inverter,1.5,5.0,"(70000, 75000]","(4.0, 4.5]",1
340508,Carrier,Split Inverter,2.0,3.0,"(65000, 70000]","(4.0, 4.5]",1
340528,Carrier,Split Inverter,2.0,3.0,"(75000, 80000]","(4.0, 4.5]",1
340938,Carrier,Split Inverter,2.0,5.0,"(70000, 75000]","(4.0, 4.5]",1
340968,Carrier,Split Inverter,2.0,5.0,"(85000, 90000]","(4.0, 4.5]",1
384958,Carrier,Window,1.0,3.0,"(30000, 35000]","(4.0, 4.5]",3
388318,Carrier,Window,1.5,3.0,"(30000, 35000]","(4.0, 4.5]",1
388337,Carrier,Window,1.5,3.0,"(40000, 45000]","(3.5, 4.0]",1
388748,Carrier,Window,1.5,5.0,"(35000, 40000]","(4.0, 4.5]",1
388749,Carrier,Window,1.5,5.0,"(35000, 40000]","(4.5, 5.0]",1
388758,Carrier,Window,1.5,5.0,"(40000, 45000]","(4.0, 4.5]",1
390847,Carrier,Window,2.0,3.0,"(35000, 40000]","(3.5, 4.0]",1
428657,Croma,Portable,1.5,3.0,"(40000, 45000]","(3.5, 4.0]",1
438737,Croma,Split,1.5,3.0,"(40000, 45000]","(3.5, 4.0]",1
526067,Croma,Window,1.0,3.0,"(25000, 30000]","(3.5, 4.0]",1
529438,Croma,Window,1.5,3.0,"(30000, 35000]","(4.0, 4.5]",1
529443,Croma,Window,1.5,3.0,"(35000, 40000]","(1.5, 2.0]",1
529868,Croma,Window,1.5,5.0,"(35000, 40000]","(4.0, 4.5]",1
574807,Daikin,Split,0.8,3.0,"(35000, 40000]","(3.5, 4.0]",1
