,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Noise(dB)_Range,Power_Consumption(kWh),Power_Range(kWh),Refrigerant,Wi_Fi Enabled,Product_Warranty(Years),PCB_Warranty(Years),Compressor_Warranty(Years),Condenser_Warranty(Years),ODU_Casing_Warranty(Years),Ratings_Count,Reviews_Count,Avg_star,Avg_star_Range,Offer_Price(₹),Offer_Price_Range(₹),Actual_Price(₹),Act_Price_Range(₹),Discount(%),Merged,Types
0,Voltas,1.5,4,Split Inverter,White,Copper,46.0,"(45, 50]",2432.0,"(2000,2500]",R32,No,1,1,5,1,1,284.0,24.0,4.0,"(3.5,4.0]",34999.0,"(30000,35000]",69990.0,"(65000,70000]",50.0,Voltas 1.5 Ton 4.0 Star,Split
1,Whirlpool,1.5,5,Split Inverter,White,Copper,35.0,"(30, 35]",2120.0,"(2000,2500]",R32,No,1,1,1,1,1,1449.0,160.0,4.1,"(4.0,4.5]",36590.0,"(35000,40000]",74700.0,"(70000,75000]",51.0,Whirlpool 1.5 Ton 5.0 Star,Split
2,Hitachi,1.5,3,Split Inverter,"White, Gold",Copper,36.0,"(35, 40]",1098.0,"(1000,1500]",R32A,No,1,1,10,1,1,1672.0,175.0,4.0,"(3.5,4.0]",34999.0,"(30000,35000]",57900.0,"(55000,60000]",40.0,Hitachi 1.5 Ton 3.0 Star,Split
3,Blue Star,1.0,3,Portable,"White, Grey",Copper,52.0,"(50, 55]",2245.0,"(2000,2500]",R410A,No,1,1,1,1,1,3771.0,562.0,3.8,"(3.5,4.0]",35490.0,"(35000,40000]",39000.0,"(35000,40000]",9.0,Blue Star 1.0 Ton 3.0 Star,Portable
4,Onida,1.5,3,Split Inverter,White,Copper,52.0,"(50, 55]",2784.0,"(2500,3000]",R32A,No,1,1,5,1,1,1677.0,306.0,4.5,"(4.0,4.5]",30990.0,"(30000,35000]",54990.0,"(50000,55000]",44.0,Onida 1.5 Ton 3.0 Star,Split
5,Voltas,1.5,2,Split,White,Copper,46.0,"(45, 50]",2320.0,"(2000,2500]",R32A,No,1,1,5,1,1,6.0,0.0,4.7,"(4.5,5.0]",30999.0,"(30000,35000]",61990.0,"(60000,65000]",50.0,Voltas 1.5 Ton 2.0 Star,Split
6,Voltas,1.5,5,Split Inverter,White,Copper,43.0,"(40, 45]",2800.0,"(2500,3000]",R32A,No,1,1,5,1,1,684.0,48.0,4.2,"(4.0,4.5]",38499.0,"(35000,40000]",69990.0,"(65000,70000]",45.0,Voltas 1.5 Ton 5.0 Star,Split
7,Marq,1.0,3,Split Inverter,White,Copper,40.0,"(35, 40]",713.0,"(500,1000]",R32A,No,1,1,10,1,1,1974.0,278.0,3.9,"(3.5,4.0]",25999.0,"(25000,30000]",45999.0,"(45000,50000]",43.0,Marq 1.0 Ton 3.0 Star,Split
8,Carrier,1.5,4,Split Inverter,White,Copper,37.0,"(35, 40]",2552.0,"(2500,3000]",R32A,No,1,1,10,1,1,6413.0,795.0,4.3,"(4.0,4.5]",37999.0,"(35000,40000]",68490.0,"(65000,70000]",45.0,Carrier 1.5 Ton 4.0 Star,Split
9,Samsung,1.5,5,Split Inverter,White,Copper,49.0,"(45, 50]",2208.0,"(2000,2500]",R32,No,1,1,1,1,1,19774.0,2004.0,4.2,"(4.0,4.5]",39999.0,"(35000,40000]",65990.0,"(65000,70000]",39.0,Samsung 1.5 Ton 5.0 Star,Split
10,Carrier,1.2,5,Split Inverter,White,Copper,32.0,"(30, 35]",1680.0,"(1500,2000]",R32A,No,1,1,10,1,1,6413.0,795.0,4.3,"(4.0,4.5]",36999.0,"(35000,40000]",64590.0,"(60000,65000]",43.0,Carrier 1.2 Ton 5.0 Star,Split
11,Realme,1.0,4,Split Inverter,White,Copper,40.0,"(35, 40]",643.0,"(500,1000]",R32A,No,1,1,10,1,1,119.0,22.0,4.1,"(4.0,4.5]",27790.0,"(25000,30000]",47999.0,"(45000,50000]",42.0,Realme 1.0 Ton 4.0 Star,Split
12,Lloyd,1.5,3,Split,White,Copper,42.0,"(40, 45]",1088.0,"(1000,1500]",R32A,No,1,1,5,1,1,17.0,1.0,4.4,"(4.0,4.5]",32999.0,"(30000,35000]",52990.0,"(50000,55000]",38.0,Lloyd 1.5 Ton 3.0 Star,Split
13,Samsung,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",2720.0,"(2500,3000]",R32A,No,1,1,10,1,1,19774.0,2004.0,4.2,"(4.0,4.5]",33999.0,"(30000,35000]",57990.0,"(55000,60000]",41.0,Samsung 1.5 Ton 3.0 Star,Split
14,Onida,1.0,3,Split Inverter,White,Copper,50.0,"(45, 50]",1952.0,"(1500,2000]",R32A,No,1,1,5,1,1,1677.0,306.0,4.5,"(4.0,4.5]",25999.0,"(25000,30000]",44990.0,"(40000,45000]",42.0,Onida 1.0 Ton 3.0 Star,Split
15,Blue Star,0.8,3,Split Inverter,White,Copper,55.0,"(50, 55]",835.0,"(500,1000]",R32A,No,1,1,1,1,1,4246.0,537.0,4.2,"(4.0,4.5]",29990.0,"(25000,30000]",37500.0,"(35000,40000]",20.0,Blue Star 0.8 Ton 3.0 Star,Split
16,Whirlpool,1.0,5,Split Inverter,White,Copper,31.0,"(30, 35]",1344.0,"(1000,1500]",R32,No,1,1,1,1,1,1449.0,160.0,4.1,"(4.0,4.5]",32999.0,"(30000,35000]",61500.0,"(60000,65000]",46.0,Whirlpool 1.0 Ton 5.0 Star,Split
17,Hitachi,1.5,3,Window,White,Copper,50.0,"(45, 50]",1277.0,"(1000,1500]",R32A,No,1,1,10,1,1,1280.0,139.0,4.0,"(3.5,4.0]",28990.0,"(25000,30000]",34490.0,"(30000,35000]",16.0,Hitachi 1.5 Ton 3.0 Star,Window
18,Voltas,1.5,3,Window,White,Copper,58.0,"(55, 60]",2766.0,"(2500,3000]",R32,No,1,1,4,1,1,5310.0,494.0,4.3,"(4.0,4.5]",27499.0,"(25000,30000]",30590.0,"(30000,35000]",10.0,Voltas 1.5 Ton 3.0 Star,Window
19,Whirlpool,1.5,3,Split Inverter,White,Copper,43.0,"(40, 45]",2656.0,"(2500,3000]",R32A,No,1,1,10,1,1,27658.0,3503.0,4.2,"(4.0,4.5]",31990.0,"(30000,35000]",53900.0,"(50000,55000]",41.0,Whirlpool 1.5 Ton 3.0 Star,Split
20,Samsung,1.5,4,Split Inverter,White,Copper,45.0,"(40, 45]",2384.0,"(2000,2500]",R32A,No,1,1,10,1,1,19774.0,2004.0,4.2,"(4.0,4.5]",35999.0,"(35000,40000]",62990.0,"(60000,65000]",43.0,Samsung 1.5 Ton 4.0 Star,Split
21,Ifb,1.5,3,Split Dual Inverter,White,Copper,39.0,"(35, 40]",1741.0,"(1500,2000]",R32,No,1,5,10,1,1,1130.0,120.0,4.2,"(4.0,4.5]",32990.0,"(30000,35000]",44890.0,"(40000,45000]",27.0,Ifb 1.5 Ton 3.0 Star,Split
22,Whirlpool,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",2320.0,"(2000,2500]",R32A,No,1,1,10,1,1,1554.0,169.0,4.1,"(4.0,4.5]",32990.0,"(30000,35000]",62200.0,"(60000,65000]",47.0,Whirlpool 1.5 Ton 3.0 Star,Split
23,Panasonic,1.5,5,Split Inverter,White,Copper,46.0,"(45, 50]",2176.0,"(2000,2500]",R32,Yes,1,4,9,1,1,7158.0,844.0,4.3,"(4.0,4.5]",42990.0,"(40000,45000]",59400.0,"(55000,60000]",28.0,Panasonic 1.5 Ton 5.0 Star,Split
24,Blue Star,1.0,3,Split,White,Copper,34.0,"(30, 35]",1528.0,"(1500,2000]",R33,No,1,1,1,1,1,1452.0,136.0,4.3,"(4.0,4.5]",28499.0,"(25000,30000]",44750.0,"(40000,45000]",36.0,Blue Star 1.0 Ton 3.0 Star,Split
25,Voltas,1.5,3,Split Inverter,White,Copper,46.0,"(45, 50]",2704.0,"(2500,3000]",R32A,No,1,1,5,1,1,4.0,0.0,0.0,"(-0.5,0.0]",32999.0,"(30000,35000]",61990.0,"(60000,65000]",47.0,Voltas 1.5 Ton 3.0 Star,Split
26,Panasonic,1.0,5,Split Inverter,White,Copper,45.0,"(40, 45]",1584.0,"(1500,2000]",R32,Yes,1,4,9,1,1,7158.0,844.0,4.3,"(4.0,4.5]",36490.0,"(35000,40000]",50600.0,"(50000,55000]",28.0,Panasonic 1.0 Ton 5.0 Star,Split
27,Whirlpool,1.0,3,Split,"White, Grey",Copper,33.0,"(30, 35]",1568.0,"(1500,2000]",R32A,No,1,1,5,1,1,7252.0,805.0,4.1,"(4.0,4.5]",28690.0,"(25000,30000]",38000.0,"(35000,40000]",24.0,Whirlpool 1.0 Ton 3.0 Star,Split
28,Voltas,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",2620.0,"(2500,3000]",R32,No,1,1,1,1,1,3818.0,319.0,4.2,"(4.0,4.5]",32999.0,"(30000,35000]",60190.0,"(60000,65000]",45.0,Voltas 1.5 Ton 3.0 Star,Split
29,Carrier,1.0,3,Split,White,Copper,32.0,"(30, 35]",1568.0,"(1500,2000]",R32A,No,1,1,5,1,1,4123.0,425.0,4.3,"(4.0,4.5]",27999.0,"(25000,30000]",52590.0,"(50000,55000]",47.0,Carrier 1.0 Ton 3.0 Star,Split
30,Lloyd,1.5,5,Split Inverter,White,Copper,35.0,"(30, 35]",865.0,"(500,1000]",R32A,Yes,1,1,10,1,1,16.0,0.0,4.4,"(4.0,4.5]",38999.0,"(35000,40000]",63990.0,"(60000,65000]",39.0,Lloyd 1.5 Ton 5.0 Star,Split
31,Marq,1.0,3,Split,White,Copper,40.0,"(35, 40]",1533.0,"(1500,2000]",R32,No,1,1,5,1,1,9849.0,1342.0,4.2,"(4.0,4.5]",24999.0,"(20000,25000]",36999.0,"(35000,40000]",32.0,Marq 1.0 Ton 3.0 Star,Split
32,Ifb,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",1089.0,"(1000,1500]",R32A,No,1,5,1,1,1,1889.0,305.0,4.4,"(4.0,4.5]",35999.0,"(35000,40000]",49590.0,"(45000,50000]",27.0,Ifb 1.5 Ton 3.0 Star,Split
33,Lloyd,1.5,3,Window,White,Copper,52.0,"(50, 55]",1215.0,"(1000,1500]",R32A,No,1,1,5,1,1,3.0,0.0,3.3,"(3.0,3.5]",26999.0,"(25000,30000]",40990.0,"(40000,45000]",34.0,Lloyd 1.5 Ton 3.0 Star,Window
34,Realme,1.5,4,Split Inverter,White,Copper,43.0,"(40, 45]",969.0,"(500,1000]",R32A,No,1,1,10,1,1,119.0,22.0,4.1,"(4.0,4.5]",30999.0,"(30000,35000]",52999.0,"(50000,55000]",42.0,Realme 1.5 Ton 4.0 Star,Split
35,Marq,1.5,5,Split Inverter,White,Copper,43.0,"(40, 45]",857.0,"(500,1000]",R32A,No,1,1,10,1,1,1974.0,278.0,3.9,"(3.5,4.0]",31990.0,"(30000,35000]",56999.0,"(55000,60000]",44.0,Marq 1.5 Ton 5.0 Star,Split
36,Voltas,0.8,3,Split,White,Copper,46.0,"(45, 50]",1322.0,"(1000,1500]",R22,No,1,1,5,1,1,2928.0,309.0,4.1,"(4.0,4.5]",26999.0,"(25000,30000]",48990.0,"(45000,50000]",45.0,Voltas 0.8 Ton 3.0 Star,Split
37,Blue Star,1.0,3,Window,White,Copper,55.0,"(50, 55]",1738.0,"(1500,2000]",R32A,No,1,1,5,1,1,47.0,6.0,4.1,"(4.0,4.5]",27099.0,"(25000,30000]",31000.0,"(30000,35000]",13.0,Blue Star 1.0 Ton 3.0 Star,Window
38,Carrier,1.5,5,Split Inverter,White,Copper,38.0,"(35, 40]",2208.0,"(2000,2500]",R32A,No,1,1,10,1,1,6413.0,795.0,4.3,"(4.0,4.5]",42999.0,"(40000,45000]",74090.0,"(70000,75000]",42.0,Carrier 1.5 Ton 5.0 Star,Split
39,Whirlpool,1.0,3,Split Inverter,White,Copper,45.0,"(40, 45]",1728.0,"(1500,2000]",R32A,No,1,1,10,1,1,1554.0,169.0,4.1,"(4.0,4.5]",29490.0,"(25000,30000]",53100.0,"(50000,55000]",44.0,Whirlpool 1.0 Ton 3.0 Star,Split
40,Lloyd,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",1003.0,"(1000,1500]",R32A,Yes,1,1,10,1,1,7.0,0.0,2.1,"(2.0,2.5]",33999.0,"(30000,35000]",61990.0,"(60000,65000]",45.0,Lloyd 1.5 Ton 3.0 Star,Split
41,Panasonic,1.5,3,Split Inverter,White,Copper,48.0,"(45, 50]",2832.0,"(2500,3000]",R32,Yes,1,4,9,1,1,7158.0,844.0,4.3,"(4.0,4.5]",36990.0,"(35000,40000]",55400.0,"(55000,60000]",33.0,Panasonic 1.5 Ton 3.0 Star,Split
42,Blue Star,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",2512.0,"(2500,3000]",R37,No,1,1,1,1,1,219.0,20.0,3.8,"(3.5,4.0]",38290.0,"(35000,40000]",62250.0,"(60000,65000]",38.0,Blue Star 1.5 Ton 3.0 Star,Split
43,Ifb,1.5,5,Split Dual Inverter,White,Copper,35.0,"(30, 35]",2192.0,"(2000,2500]",R32,No,1,5,10,1,1,1130.0,120.0,4.2,"(4.0,4.5]",37990.0,"(35000,40000]",50990.0,"(50000,55000]",25.0,Ifb 1.5 Ton 5.0 Star,Split
44,Daikin,1.5,5,Split Inverter,White,Copper,48.0,"(45, 50]",2120.0,"(2000,2500]",R32A,No,1,5,10,1,1,576.0,54.0,4.2,"(4.0,4.5]",45999.0,"(45000,50000]",67200.0,"(65000,70000]",32.0,Daikin 1.5 Ton 5.0 Star,Split
